RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
41,15000040,Cliente0041,667,France,Female,52,8,62763.23,4,1,0,182780.47,0
42,15000041,Cliente0042,597,Spain,Female,47,3,0.0,2,1,1,149230.57,0
43,15000042,Cliente0043,580,Germany,Female,49,1,138783.18,1,1,1,155956.43,1
44,15000043,Cliente0044,773,France,Male,39,9,0.0,3,1,1,156565.75,0
45,15000044,Cliente0045,700,France,Female,38,2,0.0,2,1,1,146652.61,0
46,15000045,Cliente0046,711,France,Male,37,9,42197.72,2,0,1,146528.06,0
47,15000046,Cliente0047,836,France,Male,71,7,165103.84,4,0,0,218048.21,1
48,15000047,Cliente0048,581,France,Female,69,7,119652.98,1,1,1,162118.11,1
49,15000048,Cliente0049,850,France,Male,43,9,47209.67,1,0,0,190430.1,0
50,15000049,Cliente0050,850,Spain,Male,54,4,78876.86,1,1,1,201334.42,1
51,15000050,Cliente0051,788,Germany,Male,52,5,122848.82,2,1,0,182887.28,0
52,15000051,Cliente0052,720,France,Female,79,2,83312.08,1,1,1,182964.58,1
53,15000052,Cliente0053,594,Spain,Female,18,5,41027.88,2,0,0,122536.18,0
54,15000053,Cliente0054,735,France,Female,59,9,50383.5,2,1,1,183190.86,0
55,15000054,Cliente0055,612,France,Male,50,1,84279.0,1,0,0,136116.88,1
56,15000055,Cliente0056,648,Germany,Male,79,0,140392.03,2,1,1,212843.68,1
57,15000056,Cliente0057,625,France,Female,60,3,87271.67,1,0,1,163412.79,0
58,15000057,Cliente0058,674,France,Male,51,5,76627.11,1,0,0,154440.75,0
59,15000058,Cliente0059,759,Germany,Female,36,6,122722.51,1,1,0,138978.55,0
60,15000059,Cliente0060,603,France,Female,53,5,87106.87,1,0,1,166748.67,0
61,15000060,Cliente0061,566,Spain,Male,73,2,108497.01,1,1,1,180145.71,1
62,15000061,Cliente0062,565,France,Female,80,0,86056.34,4,1,1,208103.09,0
63,15000062,Cliente0063,568,Germany,Female,28,10,0.0,1,1,1,124110.73,0
64,15000063,Cliente0064,528,Germany,Male,72,1,113638.56,1,1,1,162497.21,1
65,15000064,Cliente0065,572,France,Male,21,4,0.0,1,0,1,82733.07,1
66,15000065,Cliente0066,760,France,Male,36,7,127985.54,1,0,0,157974.34,0
67,15000066,Cliente0067,600,France,Male,76,8,59384.55,3,0,0,221376.98,0
68,15000067,Cliente0068,672,Germany,Male,41,8,39595.15,1,0,0,143527.82,0
69,15000068,Cliente0069,547,Germany,Female,77,6,136748.11,1,1,0,164243.67,1
70,15000069,Cliente0070,664,Spain,Female,66,6,0.0,1,0,1,170502.77,1
71,15000070,Cliente0071,502,France,Male,45,6,0.0,1,1,1,127589.25,0
72,15000071,Cliente0072,591,Germany,Female,51,8,65486.32,2,0,1,171147.75,0
73,15000072,Cliente0073,842,France,Male,62,3,68236.69,2,1,1,207678.11,0
74,15000073,Cliente0074,600,Germany,Male,20,1,99179.14,1,1,0,124960.64,0
75,15000074,Cliente0075,745,France,Female,28,5,0.0,1,1,1,125283.62,0
76,15000075,Cliente0076,689,France,Female,79,0,0.0,1,0,0,173801.64,0
77,15000076,Cliente0077,637,France,Female,41,6,81639.89,1,0,1,170900.42,0
78,15000077,Cliente0078,595,France,Female,50,2,79143.72,2,1,0,169324.02,0
79,15000078,Cliente0079,759,France,Female,53,10,61124.12,2,1,0,182250.33,1
80,15000079,Cliente0080,635,France,Male,31,1,58640.6,3,1,1,157414.25,0
81,15000080,Cliente0081,780,Spain,Female,42,9,95251.27,1,1,0,150115.17,0
82,15000081,Cliente0082,589,France,Female,61,4,0.0,3,1,1,165110.01,0
83,15000082,Cliente0083,655,France,Female,21,1,38370.57,1,1,0,99877.15,0
84,15000083,Cliente0084,690,Spain,Female,69,3,106552.22,1,1,0,185607.68,0
85,15000084,Cliente0085,682,France,Male,61,7,0.0,2,1,1,174212.17,0
86,15000085,Cliente0086,545,Spain,Male,39,10,0.0,1,1,0,127114.59,0
87,15000086,Cliente0087,594,France,Male,22,5,57205.73,1,1,0,124452.41,0
88,15000087,Cliente0088,633,France,Male,62,1,0.0,1,0,1,141102.64,1
89,15000088,Cliente0089,577,France,Female,68,9,83507.86,2,1,0,167537.05,1
90,15000089,Cliente0090,708,France,Male,34,0,0.0,3,1,0,138574.41,0
91,15000090,Cliente0091,700,Germany,Female,62,10,130724.89,1,1,1,179599.92,1
92,15000091,Cliente0092,484,Spain,Male,68,9,0.0,1,0,0,150576.34,1
93,15000092,Cliente0093,497,Germany,Female,60,2,0.0,2,1,1,139116.05,0
94,15000093,Cliente0094,541,France,Female,47,1,58564.26,1,1,1,155144.47,1
95,15000094,Cliente0095,660,Spain,Male,38,9,0.0,1,1,0,157517.12,0
96,15000095,Cliente0096,823,France,Female,37,1,80262.0,1,0,1,167682.4,0
97,15000096,Cliente0097,617,France,Male,78,8,145942.84,1,1,1,213716.85,1
98,15000097,Cliente0098,671,Germany,Male,18,0,37726.65,1,1,1,102879.51,0
99,15000098,Cliente0099,560,Spain,Male,80,7,115057.11,1,1,1,191822.64,1
100,15000099,Cliente0100,561,Germany,Male,39,9,40318.13,2,1,1,129988.49,1
101,15000100,Cliente0101,484,France,Female,56,10,114543.88,3,1,1,173428.46,0
102,15000101,Cliente0102,648,Germany,Female,22,3,0.0,2,1,1,121313.31,0
103,15000102,Cliente0103,731,Germany,Male,22,6,104840.83,1,1,0,119514.47,0
104,15000103,Cliente0104,620,France,Male,42,1,0.0,2,1,1,124250.84,1
105,15000104,Cliente0105,769,France,Male,41,0,106577.93,2,1,1,154122.1,0
106,15000105,Cliente0106,667,Spain,Female,54,7,97631.5,2,0,1,176192.29,0
107,15000106,Cliente0107,647,Spain,Male,57,10,93461.29,2,1,1,176214.73,1
108,15000107,Cliente0108,694,France,Female,62,7,140776.41,2,1,1,207386.06,0
109,15000108,Cliente0109,691,Germany,Female,51,1,131772.79,2,1,1,163468.96,0
110,15000109,Cliente0110,748,Spain,Female,42,4,132810.45,1,1,0,155184.34,1
111,15000110,Cliente0111,582,Germany,Female,57,1,0.0,3,1,1,158352.07,1
112,15000111,Cliente0112,456,Germany,Male,55,0,84365.74,1,1,1,128251.49,0
113,15000112,Cliente0113,660,Spain,Female,57,8,0.0,1,1,0,153730.74,0
114,15000113,Cliente0114,598,Germany,Female,48,3,0.0,1,0,1,164869.78,1
115,15000114,Cliente0115,648,France,Male,41,10,49641.39,1,0,1,147852.38,0
116,15000115,Cliente0116,791,France,Male,66,7,73669.2,2,1,0,181837.14,1
117,15000116,Cliente0117,556,France,Female,34,9,86111.94,2,1,0,136100.78,0
118,15000117,Cliente0118,715,Spain,Female,55,7,0.0,1,0,0,169469.04,1
119,15000118,Cliente0119,730,Spain,Male,53,2,0.0,1,1,1,129524.37,0
120,15000119,Cliente0120,689,France,Male,45,7,96003.82,1,1,1,163467.62,0
121,15000120,Cliente0121,745,France,Female,48,1,138028.76,2,1,1,159446.71,0
122,15000121,Cliente0122,611,Germany,Male,58,2,0.0,1,0,0,139836.85,0
123,15000122,Cliente0123,592,Spain,Male,47,8,0.0,2,1,1,135730.02,0
124,15000123,Cliente0124,738,Germany,Female,36,3,94244.43,2,1,0,164894.83,0
125,15000124,Cliente0125,711,France,Male,30,1,0.0,1,1,0,108857.73,0
126,15000125,Cliente0126,768,Germany,Female,75,7,123058.89,2,0,0,210372.92,0
127,15000126,Cliente0127,668,France,Female,73,0,184718.36,3,0,0,211831.8,0
128,15000127,Cliente0128,788,Spain,Male,74,8,52620.81,1,1,0,173271.35,1
129,15000128,Cliente0129,626,France,Female,25,5,50753.16,1,1,1,121125.16,0
130,15000129,Cliente0130,560,France,Male,32,9,0.0,1,0,0,122332.95,0
131,15000130,Cliente0131,477,Spain,Female,33,1,0.0,3,0,0,93221.47,0
132,15000131,Cliente0132,556,France,Female,62,4,118840.94,1,0,0,155988.94,1
133,15000132,Cliente0133,720,Germany,Female,72,0,152499.77,2,0,0,198890.55,1
134,15000133,Cliente0134,525,France,Female,26,9,0.0,2,1,0,130449.57,0
135,15000134,Cliente0135,612,Germany,Male,61,8,0.0,1,0,1,150017.12,0
136,15000135,Cliente0136,829,France,Male,58,9,0.0,2,1,1,186810.51,0
137,15000136,Cliente0137,722,Germany,Male,52,9,144494.5,3,0,1,194464.01,0
138,15000137,Cliente0138,802,France,Female,80,10,84333.89,1,1,1,214576.95,1
139,15000138,Cliente0139,566,Spain,Female,29,1,78693.58,1,1,0,125538.33,0
140,15000139,Cliente0140,441,Germany,Female,60,0,83195.26,4,1,0,152813.6,1
141,15000140,Cliente0141,779,France,Male,28,7,59846.59,2,0,0,150725.26,0
142,15000141,Cliente0142,530,France,Male,51,3,137105.44,1,1,1,153319.88,0
143,15000142,Cliente0143,658,France,Male,44,1,105249.76,4,1,1,168036.73,0
144,15000143,Cliente0144,668,France,Female,39,7,127726.37,2,1,1,175947.88,0
145,15000144,Cliente0145,569,France,Female,57,4,143073.64,2,1,0,171244.86,1
146,15000145,Cliente0146,782,Germany,Male,80,7,99889.69,1,1,1,225992.62,1
147,15000146,Cliente0147,782,Germany,Female,59,9,123093.04,1,1,1,207923.15,1
148,15000147,Cliente0148,697,France,Male,41,5,125474.53,4,1,1,178925.85,0
149,15000148,Cliente0149,647,France,Female,74,9,131218.28,1,0,1,187933.16,0
150,15000149,Cliente0150,666,France,Male,42,1,139252.69,1,0,1,152341.83,1
151,15000150,Cliente0151,557,Spain,Male,58,0,0.0,1,1,1,148449.99,1
152,15000151,Cliente0152,630,Spain,Female,49,9,28725.2,1,1,1,166017.0,0
153,15000152,Cliente0153,641,Spain,Male,29,9,127256.95,1,1,0,149541.66,1
154,15000153,Cliente0154,578,France,Male,65,4,21195.44,3,1,1,175119.22,0
155,15000154,Cliente0155,722,Spain,Female,78,7,133005.63,1,0,0,196532.87,1
156,15000155,Cliente0156,529,France,Male,24,1,126609.61,1,1,1,109948.61,0
157,15000156,Cliente0157,611,France,Male,80,6,62848.85,1,0,0,178875.02,1
158,15000157,Cliente0158,459,Spain,Female,34,1,0.0,2,1,1,71997.62,1
159,15000158,Cliente0159,692,France,Female,51,5,107932.68,4,0,1,195251.91,0
160,15000159,Cliente0160,713,Spain,Female,54,6,122630.34,1,1,0,173752.7,0
161,15000160,Cliente0161,703,Spain,Female,38,8,94709.56,3,0,0,184309.91,0
162,15000161,Cliente0162,850,Spain,Female,29,3,0.0,1,1,1,128174.7,0
163,15000162,Cliente0163,730,France,Female,69,2,159510.56,3,1,1,203048.21,1
164,15000163,Cliente0164,570,France,Male,51,7,0.0,1,1,0,155386.6,1
165,15000164,Cliente0165,850,Germany,Female,20,2,0.0,1,1,1,141283.71,0
166,15000165,Cliente0166,572,Spain,Male,58,1,127762.92,4,1,0,176010.93,1
167,15000166,Cliente0167,717,Germany,Female,48,6,1792.3,4,1,0,170339.87,0
168,15000167,Cliente0168,713,France,Female,33,2,105024.0,1,1,1,152298.73,0
169,15000168,Cliente0169,575,France,Female,76,7,0.0,2,0,0,173778.55,1
170,15000169,Cliente0170,769,Spain,Female,35,4,105540.42,2,1,0,149724.08,0
171,15000170,Cliente0171,680,France,Female,51,1,106129.2,1,1,0,153517.58,1
172,15000171,Cliente0172,699,France,Male,58,4,0.0,1,1,1,166532.93,0
173,15000172,Cliente0173,593,France,Male,43,7,0.0,1,1,0,139820.2,1
174,15000173,Cliente0174,761,France,Male,45,4,76181.06,2,1,0,189905.37,1
175,15000174,Cliente0175,577,Germany,Male,18,5,0.0,2,1,0,93070.74,1
176,15000175,Cliente0176,499,France,Female,41,5,54731.15,1,1,0,125375.11,0
177,15000176,Cliente0177,771,Spain,Female,73,1,138127.91,2,1,0,203527.47,0
178,15000177,Cliente0178,614,Germany,Male,76,7,110795.69,1,0,0,196258.65,1
179,15000178,Cliente0179,654,Spain,Male,59,5,117595.24,2,0,0,186716.05,0
180,15000179,Cliente0180,813,Spain,Female,57,2,106397.85,1,0,0,191751.33,0
181,15000180,Cliente0181,747,Germany,Female,79,10,67696.2,2,0,0,233459.41,1
182,15000181,Cliente0182,704,Spain,Female,31,2,0.0,2,1,1,115747.09,0
183,15000182,Cliente0183,741,Germany,Male,58,4,80347.3,1,1,0,147041.48,0
184,15000183,Cliente0184,588,Spain,Female,31,10,16596.47,1,1,1,147069.47,0
185,15000184,Cliente0185,714,Spain,Female,50,7,0.0,1,1,0,167792.9,0
186,15000185,Cliente0186,744,France,Male,55,7,0.0,3,0,1,179680.93,0
187,15000186,Cliente0187,714,France,Female,18,0,0.0,1,0,0,107367.62,0
188,15000187,Cliente0188,633,France,Male,54,1,0.0,3,1,0,167292.51,0
189,15000188,Cliente0189,350,France,Male,65,1,0.0,3,1,0,143454.76,0
190,15000189,Cliente0190,697,France,Female,29,5,78290.3,1,1,1,132254.76,0
191,15000190,Cliente0191,660,France,Male,73,5,162268.27,2,1,0,210637.96,1
192,15000191,Cliente0192,619,France,Male,24,3,0.0,1,1,0,114345.32,0
193,15000192,Cliente0193,716,France,Female,75,5,138082.22,2,1,1,219285.56,0
194,15000193,Cliente0194,673,Spain,Female,36,8,0.0,2,1,0,139382.82,0
195,15000194,Cliente0195,667,Germany,Male,37,2,88513.55,2,1,0,130623.49,0
196,15000195,Cliente0196,524,Spain,Female,75,0,121305.34,1,1,0,159554.94,1
197,15000196,Cliente0197,526,Spain,Female,37,2,75016.93,3,1,0,150817.98,0
198,15000197,Cliente0198,681,Spain,Female,67,9,0.0,2,1,1,176020.92,0
199,15000198,Cliente0199,656,Spain,Male,52,0,56926.96,2,1,1,159160.88,0
200,15000199,Cliente0200,662,France,Male,74,2,122781.49,1,1,1,216218.53,1
201,15000200,Cliente0201,664,France,Male,33,2,76011.29,1,0,0,145661.17,0
202,15000201,Cliente0202,685,France,Male,59,3,47589.21,1,1,1,175544.68,0
203,15000202,Cliente0203,653,France,Female,35,4,0.0,2,0,1,138997.47,0
204,15000203,Cliente0204,663,Spain,Female,69,4,88240.67,1,1,0,182600.93,1
205,15000204,Cliente0205,672,France,Female,47,7,0.0,3,1,0,149523.83,0
206,15000205,Cliente0206,729,Germany,Male,79,8,100716.4,1,0,0,210428.11,0
207,15000206,Cliente0207,606,France,Female,69,6,138375.84,2,1,0,192221.95,1
208,15000207,Cliente0208,717,France,Female,67,5,67317.18,1,1,1,192114.36,0
209,15000208,Cliente0209,704,France,Male,32,0,0.0,3,1,0,119529.39,1
210,15000209,Cliente0210,659,France,Female,34,4,11940.6,2,0,0,141528.02,0
211,15000210,Cliente0211,610,Germany,Female,20,3,0.0,2,1,1,116283.39,0
212,15000211,Cliente0212,681,France,Male,21,8,11581.03,1,0,1,104672.44,0
213,15000212,Cliente0213,723,Germany,Male,20,8,126422.44,2,1,1,149852.89,0
214,15000213,Cliente0214,559,Germany,Female,67,7,0.0,1,1,1,142359.37,0
215,15000214,Cliente0215,655,Germany,Male,66,9,0.0,3,1,1,186958.22,0
216,15000215,Cliente0216,656,Spain,Male,77,5,124750.56,1,1,1,199017.57,0
217,15000216,Cliente0217,594,France,Male,19,9,86082.65,3,1,0,115555.08,0
218,15000217,Cliente0218,597,France,Female,38,8,20432.98,2,1,0,132009.57,0
219,15000218,Cliente0219,518,Germany,Male,77,1,130336.62,1,0,0,187903.72,1
220,15000219,Cliente0220,556,Spain,Female,58,8,165154.82,1,1,1,178933.61,1
221,15000220,Cliente0221,519,Spain,Male,20,5,0.0,3,1,0,118778.75,1
222,15000221,Cliente0222,598,France,Female,31,7,90128.37,4,1,1,168770.74,0
223,15000222,Cliente0223,602,France,Female,58,3,0.0,2,1,0,156760.83,1
224,15000223,Cliente0224,604,Spain,Male,58,3,83730.31,1,1,0,153764.01,1
225,15000224,Cliente0225,682,Spain,Male,67,1,30930.2,2,1,0,166824.26,0
226,15000225,Cliente0226,634,France,Female,22,10,81743.85,2,1,0,136308.66,0
227,15000226,Cliente0227,588,France,Female,27,4,110848.11,1,1,1,115843.27,0
228,15000227,Cliente0228,589,France,Male,26,7,49767.47,2,1,0,130632.16,0
229,15000228,Cliente0229,554,Germany,Female,37,6,0.0,2,0,0,130428.79,0
230,15000229,Cliente0230,633,France,Female,70,0,32511.31,3,0,1,163261.52,0
231,15000230,Cliente0231,632,Spain,Female,74,6,52734.32,1,1,1,191314.91,1
232,15000231,Cliente0232,788,France,Male,56,7,125883.64,1,1,1,178038.29,0
233,15000232,Cliente0233,780,France,Male,68,10,0.0,1,1,1,177714.7,0
234,15000233,Cliente0234,776,Spain,Female,63,7,0.0,3,1,0,173544.84,0
235,15000234,Cliente0235,827,France,Female,56,4,0.0,3,1,1,187918.49,0
236,15000235,Cliente0236,547,France,Male,41,8,13572.01,2,0,1,149848.7,0
237,15000236,Cliente0237,707,France,Male,24,1,68864.92,1,0,1,129079.22,0
238,15000237,Cliente0238,715,Germany,Male,72,2,85114.16,2,1,1,180755.2,0
239,15000238,Cliente0239,690,France,Female,75,1,102423.57,1,1,1,159726.1,1
240,15000239,Cliente0240,831,France,Male,36,1,0.0,3,0,1,155649.17,0
241,15000240,Cliente0241,850,Spain,Male,19,10,54861.06,1,1,0,136825.63,0
242,15000241,Cliente0242,733,Germany,Female,26,7,59780.11,1,1,1,155693.53,0
243,15000242,Cliente0243,706,France,Male,42,1,85949.9,1,1,0,173480.62,1
244,15000243,Cliente0244,555,France,Male,28,4,53854.31,1,1,1,117103.88,0
245,15000244,Cliente0245,555,France,Male,20,8,0.0,1,1,1,117619.06,0
246,15000245,Cliente0246,710,Spain,Male,26,5,122481.74,2,1,1,145800.34,1
247,15000246,Cliente0247,644,France,Female,18,4,95036.97,2,0,1,140549.05,0
248,15000247,Cliente0248,537,France,Male,62,10,87157.58,1,0,1,173023.37,1
249,15000248,Cliente0249,639,France,Male,37,0,76663.89,2,1,1,152780.58,0
250,15000249,Cliente0250,681,France,Male,80,4,0.0,2,1,0,183130.45,0
251,15000250,Cliente0251,730,France,Male,65,9,101046.2,2,1,1,209483.2,0
252,15000251,Cliente0252,641,Germany,Male,51,1,61260.71,2,0,1,173299.63,0
253,15000252,Cliente0253,627,Spain,Male,30,10,93169.44,1,1,0,148529.22,1
254,15000253,Cliente0254,651,France,Male,34,2,97178.14,2,1,0,145723.17,0
255,15000254,Cliente0255,665,Spain,Male,75,6,0.0,1,1,1,183358.79,1
256,15000255,Cliente0256,551,Spain,Male,19,10,0.0,1,1,0,109932.47,0
257,15000256,Cliente0257,721,France,Male,21,1,38680.65,2,1,1,130457.98,0
258,15000257,Cliente0258,836,France,Female,67,0,0.0,2,1,0,179114.45,0
259,15000258,Cliente0259,719,France,Female,65,0,61789.19,3,1,0,175277.02,0
260,15000259,Cliente0260,527,France,Female,29,9,34828.43,2,1,0,130192.43,0
261,15000260,Cliente0261,658,Spain,Female,70,7,127600.41,2,1,0,195444.79,1
262,15000261,Cliente0262,500,France,Female,62,3,82950.58,2,1,1,155709.38,0
263,15000262,Cliente0263,495,France,Female,51,2,80347.46,1,1,1,161823.96,0
264,15000263,Cliente0264,706,Spain,Male,35,8,79774.22,2,0,1,149234.61,0
265,15000264,Cliente0265,657,Germany,Male,47,1,15477.23,1,1,0,120210.07,0
266,15000265,Cliente0266,592,Germany,Female,66,5,116690.05,1,0,0,179142.03,1
267,15000266,Cliente0267,473,Spain,Male,47,9,0.0,1,1,0,120280.32,0
268,15000267,Cliente0268,542,France,Male,57,5,55336.21,1,0,0,137863.6,0
269,15000268,Cliente0269,664,France,Male,53,6,77147.35,1,1,1,175719.22,1
270,15000269,Cliente0270,653,France,Male,45,0,116903.09,2,0,1,161009.03,0
271,15000270,Cliente0271,709,France,Male,63,1,88614.63,1,1,1,169529.99,0
272,15000271,Cliente0272,779,France,Male,34,6,0.0,1,1,1,123271.83,0
273,15000272,Cliente0273,621,France,Female,39,4,0.0,1,1,1,122336.66,0
274,15000273,Cliente0274,690,France,Male,55,7,146632.3,1,0,0,162630.07,0
275,15000274,Cliente0275,638,France,Female,76,0,0.0,1,1,1,148058.47,0
276,15000275,Cliente0276,608,Germany,Male,61,3,0.0,1,1,0,166937.92,1
277,15000276,Cliente0277,629,Germany,Male,23,1,15512.37,1,1,1,112152.54,0
278,15000277,Cliente0278,732,Spain,Female,20,2,60692.08,3,1,1,131283.64,0
279,15000278,Cliente0279,563,France,Female,59,9,0.0,1,1,1,160897.52,1
280,15000279,Cliente0280,747,France,Male,37,7,100623.99,3,1,1,170950.59,0
281,15000280,Cliente0281,776,France,Male,20,3,0.0,1,1,1,123072.69,0
282,15000281,Cliente0282,653,France,Male,65,2,87031.99,1,1,1,169114.18,1
283,15000282,Cliente0283,672,Germany,Female,39,2,65322.27,2,0,0,129441.89,0
284,15000283,Cliente0284,530,France,Male,34,7,93142.67,1,1,0,131395.23,0
285,15000284,Cliente0285,850,France,Male,51,8,71616.02,2,1,1,196263.22,0
286,15000285,Cliente0286,733,Spain,Female,63,4,0.0,2,1,1,187493.87,0
287,15000286,Cliente0287,665,Spain,Male,25,0,78828.58,2,1,0,121824.32,1
288,15000287,Cliente0288,655,Germany,Male,43,5,80799.98,2,0,1,137520.78,0
289,15000288,Cliente0289,688,Germany,Male,65,7,0.0,1,0,1,175720.71,0
290,15000289,Cliente0290,595,Spain,Male,61,0,53204.24,2,1,0,161032.08,1
291,15000290,Cliente0291,674,France,Female,25,5,82296.38,2,0,1,133439.3,0
292,15000291,Cliente0292,571,France,Female,76,4,112362.22,3,1,1,195908.66,0
293,15000292,Cliente0293,692,Spain,Male,29,7,0.0,1,1,1,147731.1,0
294,15000293,Cliente0294,592,Spain,Female,28,2,75901.14,2,1,1,139473.98,0
295,15000294,Cliente0295,726,Spain,Male,20,6,115488.91,1,1,1,139628.22,0
296,15000295,Cliente0296,640,France,Male,76,0,112766.3,1,0,1,170081.15,1
297,15000296,Cliente0297,673,Germany,Male,30,5,92196.2,3,1,1,160040.13,0
298,15000297,Cliente0298,850,Germany,Male,74,5,0.0,1,1,1,182962.23,0
299,15000298,Cliente0299,718,France,Female,55,4,0.0,1,0,0,143868.73,1
300,15000299,Cliente0300,673,France,Female,50,0,53304.55,1,0,1,149156.76,0
301,15000300,Cliente0301,654,France,Female,75,10,100660.04,1,1,0,169609.34,1
302,15000301,Cliente0302,562,Spain,Male,20,3,54156.03,3,1,1,132090.03,0
303,15000302,Cliente0303,742,France,Male,71,5,90606.84,1,1,0,200838.02,1
304,15000303,Cliente0304,786,Germany,Female,68,1,0.0,1,1,0,175079.88,0
305,15000304,Cliente0305,655,Germany,Female,76,4,127699.77,1,1,1,198156.54,1
306,15000305,Cliente0306,793,Spain,Male,55,7,110117.51,2,1,0,162111.99,0
307,15000306,Cliente0307,640,France,Female,80,10,127299.41,1,1,1,222778.12,1
308,15000307,Cliente0308,499,France,Female,37,0,0.0,1,1,1,99806.21,0
309,15000308,Cliente0309,594,France,Female,18,9,0.0,1,1,0,118444.82,0
310,15000309,Cliente0310,560,Spain,Male,20,9,21996.29,1,1,0,100093.57,1
311,15000310,Cliente0311,627,France,Male,68,8,94193.38,1,1,1,171820.68,0
312,15000311,Cliente0312,703,France,Male,42,4,0.0,1,1,0,144456.81,0
313,15000312,Cliente0313,571,Germany,Female,21,5,0.0,1,0,0,114350.71,0
314,15000313,Cliente0314,643,France,Female,22,5,0.0,1,1,1,110418.9,0
315,15000314,Cliente0315,667,Spain,Female,67,10,104494.18,1,1,1,205931.89,0
316,15000315,Cliente0316,588,Germany,Female,46,8,0.0,1,1,1,141589.52,0
317,15000316,Cliente0317,573,France,Female,34,6,99546.87,1,1,1,140059.73,1
318,15000317,Cliente0318,657,Spain,Male,22,0,100496.63,3,1,1,141219.77,0
319,15000318,Cliente0319,724,France,Female,77,2,67387.44,1,1,0,200883.36,0
320,15000319,Cliente0320,599,Spain,Female,59,4,0.0,1,0,0,116354.11,0
321,15000320,Cliente0321,586,France,Female,67,4,0.0,2,0,0,147629.36,0
322,15000321,Cliente0322,638,France,Male,57,2,91746.49,1,1,1,156856.81,0
323,15000322,Cliente0323,675,Spain,Female,63,7,0.0,2,0,1,180544.0,0
324,15000323,Cliente0324,604,France,Male,32,5,0.0,1,1,1,121883.05,0
